sense	number	antisense	bp
Herpesvirus:Epstein_Barr_Virus:202:+	202	Herpesvirus:Epstein_Barr_Virus:3645:-	10150
Herpesvirus:Epstein_Barr_Virus:203:+	203	Herpesvirus:Epstein_Barr_Virus:3646:-	10200
Herpesvirus:Epstein_Barr_Virus:204:+	204	Herpesvirus:Epstein_Barr_Virus:3647:-	10250
Herpesvirus:Epstein_Barr_Virus:205:+	205	Herpesvirus:Epstein_Barr_Virus:3648:-	10300
Herpesvirus:Epstein_Barr_Virus:206:+	206	Herpesvirus:Epstein_Barr_Virus:3649:-	10350
Herpesvirus:Epstein_Barr_Virus:207:+	207	Herpesvirus:Epstein_Barr_Virus:3650:-	10400
Herpesvirus:Epstein_Barr_Virus:208:+	208	Herpesvirus:Epstein_Barr_Virus:3651:-	10450
Herpesvirus:Epstein_Barr_Virus:209:+	209	Herpesvirus:Epstein_Barr_Virus:3652:-	10500
Herpesvirus:Epstein_Barr_Virus:210:+	210	Herpesvirus:Epstein_Barr_Virus:3653:-	10550
Herpesvirus:Epstein_Barr_Virus:211:+	211	Herpesvirus:Epstein_Barr_Virus:3654:-	10600
Herpesvirus:Epstein_Barr_Virus:212:+	212	Herpesvirus:Epstein_Barr_Virus:3655:-	10650
Herpesvirus:Epstein_Barr_Virus:213:+	213	Herpesvirus:Epstein_Barr_Virus:3656:-	10700
Herpesvirus:Epstein_Barr_Virus:214:+	214	Herpesvirus:Epstein_Barr_Virus:3657:-	10750
Herpesvirus:Epstein_Barr_Virus:215:+	215	Herpesvirus:Epstein_Barr_Virus:3658:-	10800
Herpesvirus:Epstein_Barr_Virus:216:+	216	Herpesvirus:Epstein_Barr_Virus:3659:-	10850
Herpesvirus:Epstein_Barr_Virus:217:+	217	Herpesvirus:Epstein_Barr_Virus:3660:-	10900
Herpesvirus:Epstein_Barr_Virus:218:+	218	Herpesvirus:Epstein_Barr_Virus:3661:-	10950
Herpesvirus:Epstein_Barr_Virus:219:+	219	Herpesvirus:Epstein_Barr_Virus:3662:-	11000
Herpesvirus:Epstein_Barr_Virus:220:+	220	Herpesvirus:Epstein_Barr_Virus:3663:-	11050
Herpesvirus:Epstein_Barr_Virus:221:+	221	Herpesvirus:Epstein_Barr_Virus:3664:-	11100
Herpesvirus:Epstein_Barr_Virus:222:+	222	Herpesvirus:Epstein_Barr_Virus:3665:-	11150
Herpesvirus:Epstein_Barr_Virus:223:+	223	Herpesvirus:Epstein_Barr_Virus:3666:-	11200
Herpesvirus:Epstein_Barr_Virus:224:+	224	Herpesvirus:Epstein_Barr_Virus:3667:-	11250
Herpesvirus:Epstein_Barr_Virus:225:+	225	Herpesvirus:Epstein_Barr_Virus:3668:-	11300
Herpesvirus:Epstein_Barr_Virus:226:+	226	Herpesvirus:Epstein_Barr_Virus:3669:-	11350
Herpesvirus:Epstein_Barr_Virus:227:+	227	Herpesvirus:Epstein_Barr_Virus:3670:-	11400
Herpesvirus:Epstein_Barr_Virus:228:+	228	Herpesvirus:Epstein_Barr_Virus:3671:-	11450
Herpesvirus:Epstein_Barr_Virus:229:+	229	Herpesvirus:Epstein_Barr_Virus:3672:-	11500
Herpesvirus:Epstein_Barr_Virus:230:+	230	Herpesvirus:Epstein_Barr_Virus:3673:-	11550
Herpesvirus:Epstein_Barr_Virus:231:+	231	Herpesvirus:Epstein_Barr_Virus:3674:-	11600
Herpesvirus:Epstein_Barr_Virus:232:+	232	Herpesvirus:Epstein_Barr_Virus:3675:-	11650
Herpesvirus:Epstein_Barr_Virus:233:+	233	Herpesvirus:Epstein_Barr_Virus:3676:-	11700
Herpesvirus:Epstein_Barr_Virus:234:+	234	Herpesvirus:Epstein_Barr_Virus:3677:-	11750
Herpesvirus:Epstein_Barr_Virus:235:+	235	Herpesvirus:Epstein_Barr_Virus:3678:-	11800
Herpesvirus:Epstein_Barr_Virus:236:+	236	Herpesvirus:Epstein_Barr_Virus:3679:-	11850
Herpesvirus:Epstein_Barr_Virus:237:+	237	Herpesvirus:Epstein_Barr_Virus:3680:-	11900
Herpesvirus:Epstein_Barr_Virus:238:+	238	Herpesvirus:Epstein_Barr_Virus:3681:-	11950
Herpesvirus:Epstein_Barr_Virus:239:+	239	Herpesvirus:Epstein_Barr_Virus:3682:-	12000
Herpesvirus:Epstein_Barr_Virus:240:+	240	Herpesvirus:Epstein_Barr_Virus:3683:-	12050
Herpesvirus:Epstein_Barr_Virus:241:+	241	Herpesvirus:Epstein_Barr_Virus:3684:-	12100
Herpesvirus:Epstein_Barr_Virus:242:+	242	Herpesvirus:Epstein_Barr_Virus:3685:-	12150
Herpesvirus:Epstein_Barr_Virus:243:+	243	Herpesvirus:Epstein_Barr_Virus:3686:-	12200
Herpesvirus:Epstein_Barr_Virus:244:+	244	Herpesvirus:Epstein_Barr_Virus:3687:-	12250
Herpesvirus:Epstein_Barr_Virus:245:+	245	Herpesvirus:Epstein_Barr_Virus:3688:-	12300
Herpesvirus:Epstein_Barr_Virus:246:+	246	Herpesvirus:Epstein_Barr_Virus:3689:-	12350
Herpesvirus:Epstein_Barr_Virus:247:+	247	Herpesvirus:Epstein_Barr_Virus:3690:-	12400
Herpesvirus:Epstein_Barr_Virus:248:+	248	Herpesvirus:Epstein_Barr_Virus:3691:-	12450
Herpesvirus:Epstein_Barr_Virus:249:+	249	Herpesvirus:Epstein_Barr_Virus:3692:-	12500
